Collapse Sidebar,সাইডবার সংকুচিত করুন,
Search (Ctrl+K),অনুসন্ধান (Ctrl+K),
Search...,অনুসন্ধান...,
Search Results,অনুসন্ধানের ফলাফল,
No matches found,কোনো ফলাফল পাওয়া যায়নি,
Favorites,প্রিয়,
Recent,সাম্প্রতিক,
Unpin Favorite,প্রিয় থেকে সরান,
Favorite,প্রিয়,
Pin Favorite,প্রিয়তে পিন করুন,
Desk User,ডেস্ক ব্যবহারকারী,
User Profile,ব্যবহারকারী প্রোফাইল,
Settings menu,সেটিংস মেনু,
Settings,সেটিংস,
Toggle Theme,থিম পরিবর্তন,
Light Mode,লাইট মোড,
Dark Mode,ডার্ক মোড,
Language,ভাষা,
Log Out,লগ আউট,
Theme updated,থিম আপডেট হয়েছে,
Language updated,ভাষা আপডেট হয়েছে,
Toggle Menu,মেনু টগল করুন,
Profile,প্রোফাইল,
English,ইংরেজি,
বাংলা,বাংলা,
日本語,জাপানি,
Sidebar Configuration,সাইডবার কনফিগারেশন,
Sidebar Menu Item,সাইডবার মেনু আইটেম,
Sidebar Name,সাইডবারের নাম,
Company,কোম্পানি,
Company Name shown in the sidebar header,সাইডবার হেডারে প্রদর্শিত কোম্পানির নাম,
Logo,লোগো,
Active,সক্রিয়,
Enable this sidebar configuration globally,এই সাইডবার কনফিগারেশন বিশ্বব্যাপী সক্রিয় করুন,
Sidebar Features,সাইডবার বৈশিষ্ট্য,
Enable Favorites,প্রিয় সক্রিয় করুন,
Enable Recent Items,সাম্প্রতিক আইটেম সক্রিয় করুন,
Enable Search,অনুসন্ধান সক্রিয় করুন,
Sidebar Theme,সাইডবার থিম,
Collapse By Default,ডিফল্টভাবে সংকুচিত,
Sidebar Colors,সাইডবার রঙ,
Primary Color,প্রাথমিক রঙ,
"Active links, accents, and highlights",সক্রিয় লিঙ্ক, অ্যাকসেন্ট ও হাইলাইট,
Secondary Color,গৌণ রঙ,
Muted text and secondary UI elements,মিউটেড টেক্সট ও গৌণ UI উপাদান,
Background (Light Theme),পটভূমি (লাইট থিম),
Background (Dark Theme),পটভূমি (ডার্ক থিম),
Menu Items Setup,মেনু আইটেম সেটআপ,
Menu Items,মেনু আইটেম,
Set Primary / Secondary colors and Light / Dark backgrounds. Changes apply on save after cache clears.,প্রাথমিক/গৌণ রঙ এবং লাইট/ডার্ক পটভূমি সেট করুন। সংরক্ষণের পর ক্যাশ পরিষ্কার করলে পরিবর্তন প্রয়োগ হবে।,
Light,লাইট,
Dark,ডার্ক,
System,সিস্টেম,
Label,লেবেল,
Icon,আইকন,
Parent Item,প্যারেন্ট আইটেম,
Label of the parent item to group under,যে প্যারেন্ট আইটেমের অধীনে গ্রুপ করবেন তার লেবেল,
Sequence,ক্রম,
Enabled,সক্রিয়,
Open In New Tab,নতুন ট্যাবে খুলুন,
Route Type,রুটের ধরন,
Route URL,রুট URL,
Desk route or URL. Auto-filled from Route Type; you can edit anytime.,ডেস্ক রুট বা URL। রুট টাইপ থেকে স্বয়ংক্রিয় পূরণ; যেকোনো সময় সম্পাদনা করতে পারবেন।,
DocType Link,ডকটাইপ লিঙ্ক,
Report Link,রিপোর্ট লিঙ্ক,
Page Link,পেজ লিঙ্ক,
Workspace Link,ওয়ার্কস্পেস লিঙ্ক,
URL,URL,
Custom Route,কাস্টম রুট,
Permission Rule,অনুমতি নিয়ম,
DocType,ডকটাইপ,
Report,রিপোর্ট,
Page,পেজ,
Workspace,ওয়ার্কস্পেস,
Frappe Whitelabel,ফ্রাপে হোয়াইটলেবেল,
